field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-70 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-69 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-68 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-67 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-66 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-65 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-64 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-63 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-62 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-61 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-60 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-59 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-58 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-57 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-56 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-55 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-54 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-53 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-52 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-51 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-50 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-49 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-48 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-47 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-46 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-45 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-44 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-43 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-42 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-41 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-40 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-39 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-38 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-37 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-36 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-35 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-34 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-33 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-32 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-31 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-30 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-29 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-28 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-27 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-26 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-25 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-24 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-23 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-22 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-21 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-20 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-19 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-18 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-17 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-16 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-15 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-14 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-13 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-12 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-11 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-10 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-9 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-8 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-7 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-6 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-5 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
